x : f(x) : interpolation : error
-0.629198 : 0.353365 : 0.353363 : 1.77029e-06
-0.628198 : 0.352353 : 0.352353 : -2.41219e-07
-0.627198 : 0.351342 : 0.351344 : -2.21277e-06
-0.626198 : 0.350332 : 0.350337 : -4.14476e-06
-0.625198 : 0.349324 : 0.34933 : -6.03756e-06
-0.624198 : 0.348316 : 0.348324 : -7.89156e-06
-0.623198 : 0.347309 : 0.347319 : -9.70715e-06
-0.622198 : 0.346304 : 0.346315 : -1.14847e-05
-0.621198 : 0.345299 : 0.345312 : -1.32246e-05
-0.620198 : 0.344295 : 0.34431 : -1.49272e-05
-0.619198 : 0.343293 : 0.34331 : -1.6593e-05
-0.618198 : 0.342291 : 0.34231 : -1.82222e-05
-0.617198 : 0.341291 : 0.341311 : -1.98152e-05
-0.616198 : 0.340292 : 0.340313 : -2.13724e-05
-0.615198 : 0.339293 : 0.339316 : -2.28943e-05
-0.614198 : 0.338296 : 0.33832 : -2.4381e-05
-0.613198 : 0.3373 : 0.337326 : -2.58331e-05
-0.612198 : 0.336305 : 0.336332 : -2.72508e-05
-0.611198 : 0.335311 : 0.335339 : -2.86346e-05
-0.610198 : 0.334317 : 0.334347 : -2.99848e-05
-0.609198 : 0.333325 : 0.333357 : -3.13017e-05
-0.608198 : 0.332335 : 0.332367 : -3.25856e-05
-0.607198 : 0.331345 : 0.331379 : -3.38371e-05
-0.606198 : 0.330356 : 0.330391 : -3.50563e-05
-0.605198 : 0.329368 : 0.329404 : -3.62436e-05
-0.604198 : 0.328382 : 0.328419 : -3.73995e-05
-0.603198 : 0.327396 : 0.327434 : -3.85242e-05
-0.602198 : 0.326411 : 0.326451 : -3.9618e-05
-0.601198 : 0.325428 : 0.325469 : -4.06814e-05
-0.600198 : 0.324446 : 0.324487 : -4.17146e-05
-0.599198 : 0.323464 : 0.323507 : -4.27179e-05
-0.598198 : 0.322484 : 0.322528 : -4.36919e-05
-0.597198 : 0.321505 : 0.32155 : -4.46366e-05
-0.596198 : 0.320527 : 0.320573 : -4.55526e-05
-0.595198 : 0.31955 : 0.319597 : -4.644e-05
-0.594198 : 0.318574 : 0.318622 : -4.72993e-05
-0.593198 : 0.3176 : 0.317648 : -4.81307e-05
-0.592198 : 0.316626 : 0.316675 : -4.89347e-05
-0.591198 : 0.315653 : 0.315703 : -4.97114e-05
-0.590198 : 0.314682 : 0.314732 : -5.04613e-05
-0.589198 : 0.313712 : 0.313763 : -5.11846e-05
-0.588198 : 0.312742 : 0.312794 : -5.18817e-05
-0.587198 : 0.311774 : 0.311827 : -5.25528e-05
-0.586198 : 0.310807 : 0.31086 : -5.31983e-05
-0.585198 : 0.309841 : 0.309895 : -5.38186e-05
-0.584198 : 0.308876 : 0.308931 : -5.44138e-05
-0.583198 : 0.307913 : 0.307968 : -5.49844e-05
-0.582198 : 0.30695 : 0.307006 : -5.55305e-05
-0.581198 : 0.305989 : 0.306045 : -5.60526e-05
-0.580198 : 0.305028 : 0.305085 : -5.65509e-05
-0.579198 : 0.304069 : 0.304126 : -5.70258e-05
-0.578198 : 0.303111 : 0.303168 : -5.74774e-05
-0.577198 : 0.302154 : 0.302212 : -5.79062e-05
-0.576198 : 0.301198 : 0.301256 : -5.83124e-05
-0.575198 : 0.300243 : 0.300302 : -5.86963e-05
-0.574198 : 0.29929 : 0.299349 : -5.90582e-05
-0.573198 : 0.298337 : 0.298396 : -5.93983e-05
-0.572198 : 0.297386 : 0.297445 : -5.97171e-05
-0.571198 : 0.296436 : 0.296496 : -6.00147e-05
-0.570198 : 0.295486 : 0.295547 : -6.02915e-05
-0.569198 : 0.294538 : 0.294599 : -6.05477e-05
-0.568198 : 0.293592 : 0.293652 : -6.07836e-05
-0.567198 : 0.292646 : 0.292707 : -6.09995e-05
-0.566198 : 0.291701 : 0.291763 : -6.11957e-05
-0.565198 : 0.290758 : 0.290819 : -6.13724e-05
-0.564198 : 0.289816 : 0.289877 : -6.153e-05
-0.563198 : 0.288875 : 0.288937 : -6.16686e-05
-0.562198 : 0.287935 : 0.287997 : -6.17887e-05
-0.561198 : 0.286996 : 0.287058 : -6.18903e-05
